UniqueKey,Date,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,Winner,HomeOdds,AwayOdds,DrawOdds
16/10/16SouthamptonBurnley,16/10/16,Southampton,Burnley,70.29,55.96,0.5977,0.1424,0.2598,1.57,0.64,3,1,Southampton,1.4,9.5,4.8
17/10/16LiverpoolMan United,17/10/16,Liverpool,Man United,81.6,80.72,0.4737,0.2815,0.2448,1.78,1.41,0,0,Draw,2.2,3.5,3.5
22/10/16ArsenalMiddlesbrough,22/10/16,Arsenal,Middlesbrough,85.58,53.15,0.7914,0.0595,0.1491,2.49,0.42,0,0,Draw,1.25,15,6.5
22/10/16BournemouthTottenham,22/10/16,Bournemouth,Tottenham,61.54,76.73,0.2779,0.454,0.2681,1.18,1.58,0,0,Draw,4.2,1.95,3.6
22/10/16BurnleyEverton,22/10/16,Burnley,Everton,54.77,69.66,0.2941,0.4196,0.2863,1.09,1.36,2,1,Burnley,6,1.67,3.8
22/10/16HullStoke,22/10/16,Hull,Stoke,45.85,57.95,0.3652,0.3459,0.2889,1.22,1.26,0,2,Stoke,3.1,2.5,3.3
22/10/16LeicesterCrystal Palace,22/10/16,Leicester,Crystal Palace,65.7,59.15,0.5129,0.2144,0.2728,1.54,0.91,3,1,Leicester,2.05,3.9,3.5
22/10/16LiverpoolWest Brom,22/10/16,Liverpool,West Brom,81.26,59.19,0.7223,0.0976,0.1801,2.37,0.67,2,1,Liverpool,1.29,13,6
22/10/16SwanseaWatford,22/10/16,Swansea,Watford,60.2,61.85,0.4466,0.2948,0.2586,1.65,1.38,0,0,Draw,2.38,3.3,3.3
22/10/16West HamSunderland,22/10/16,West Ham,Sunderland,60.58,50.91,0.5369,0.2142,0.249,1.79,1.1,1,0,West Ham,1.67,5.75,4
23/10/16ChelseaMan United,23/10/16,Chelsea,Man United,82,80.66,0.4996,0.2397,0.2607,1.58,1.16,4,0,Chelsea,2.15,3.8,3.4
23/10/16Man CitySouthampton,23/10/16,Man City,Southampton,87.29,71.47,0.7119,0.1044,0.1837,2.17,0.86,1,1,Draw,1.5,7.5,4.5
29/10/16Crystal PalaceLiverpool,29/10/16,Crystal Palace,Liverpool,59.44,80.93,0.1835,0.5938,0.2227,1.17,1.94,2,4,Liverpool,5.25,1.7,4
29/10/16Man UnitedBurnley,29/10/16,Man United,Burnley,79.31,55.35,0.7153,0.0881,0.1966,2.13,0.48,0,0,Draw,1.2,19,7
29/10/16MiddlesbroughBournemouth,29/10/16,Middlesbrough,Bournemouth,54.4,61.22,0.4137,0.2922,0.2941,1.25,1.07,2,0,Middlesbrough,2.5,3.2,3.2
29/10/16SunderlandArsenal,29/10/16,Sunderland,Arsenal,50.59,84.67,0.088,0.7482,0.1638,0.94,2.27,1,4,Arsenal,9,1.4,5
29/10/16TottenhamLeicester,29/10/16,Tottenham,Leicester,76.81,65.5,0.5991,0.1528,0.248,1.69,0.79,1,1,Draw,1.62,6,4.2
29/10/16WatfordHull,29/10/16,Watford,Hull,61.69,44.7,0.5964,0.162,0.2416,1.82,0.84,1,0,Watford,1.75,5.25,3.75
29/10/16West BromMan City,29/10/16,West Brom,Man City,59.65,86.91,0.1021,0.7235,0.1744,1,2.17,0,4,Man City,8,1.44,4.75
30/10/16EvertonWest Ham,30/10/16,Everton,West Ham,69.14,60.89,0.5554,0.1985,0.2461,1.8,1.04,2,0,Everton,1.8,4.75,3.8
30/10/16SouthamptonChelsea,30/10/16,Southampton,Chelsea,71.92,83.43,0.2835,0.4507,0.2658,1.25,1.52,0,2,Chelsea,3.2,2.4,3.4
31/10/16StokeSwansea,31/10/16,Stoke,Swansea,59.12,60.29,0.4453,0.2799,0.2749,1.48,1.17,3,1,Stoke,2.05,3.8,3.6
05/11/16BournemouthSunderland,05/11/16,Bournemouth,Sunderland,60.66,49.65,0.543,0.2013,0.2558,1.71,0.97,1,2,Sunderland,1.65,5.5,4.2
